subjID	condition	taskOrder	firstTower	earlyTower	targetCause	scaleOrientation	sex	age	InstructionCheck_Attempts	totalTime	timeFinished
190	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-North	HC-L	male	39	1	618870	04.07.2018 19:02
197	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-North	HC-R	male	60	1	599859	04.07.2018 19:03
263	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-North	HC-R	male	22	1	278490	04.07.2018 19:03
233	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-North	HC-L	female	26	1	410576	04.07.2018 19:03
236	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-South	HC-R	male	44	1	398383	04.07.2018 19:03
218	Ons-same_Delay-diff	DurFirst	FT-North	ET-North	Q-North	HC-R	female	45	1	517848	04.07.2018 19:03
244	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-North	Q-North	HC-L	female	43	1	410609	04.07.2018 19:04
243	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-North	Q-North	HC-L	male	35	1	417969	04.07.2018 19:04
192	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-North	HC-L	male	30	1	691280	04.07.2018 19:04
259	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-North	Q-North	HC-L	male	62	1	339745	04.07.2018 19:04
200	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-North	HC-R	male	50	1	671016	04.07.2018 19:04
220	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-North	Q-South	HC-L	male	47	1	576867	04.07.2018 19:04
248	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-South	HC-L	female	41	1	425337	04.07.2018 19:04
183	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-South	Q-South	HC-R	male	21	2	755653	04.07.2018 19:04
223	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-South	HC-L	male	40	1	559056	04.07.2018 19:04
272	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-L	female	46	1	313898	04.07.2018 19:04
191	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-North	HC-R	male	40	99	729533	04.07.2018 19:04
227	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-South	Q-North	HC-L	female	40	1	553746	04.07.2018 19:05
215	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-South	HC-R	female	53	1	627504	04.07.2018 19:05
182	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-South	HC-R	female	62	1	798281	04.07.2018 19:05
234	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-North	Q-South	HC-R	female	32	1	523291	04.07.2018 19:05
228	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-South	Q-South	HC-L	male	59	1	565610	04.07.2018 19:05
269	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-North	HC-R	female	23	1	382777	04.07.2018 19:05
254	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-North	Q-North	HC-R	female	21	1	440110	04.07.2018 19:05
217	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-North	HC-R	female	55	1	654942	04.07.2018 19:05
239	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-North	Q-South	HC-R	male	41	1	535467	04.07.2018 19:05
193	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-South	HC-L	female	30	1	785613	04.07.2018 19:05
252	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-South	Q-South	HC-L	female	1825	1	467018	04.07.2018 19:06
284	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-South	Q-North	HC-L	male	22	1	306871	04.07.2018 19:06
264	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-North	Q-North	HC-R	female	1833	1	436540	04.07.2018 19:06
251	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-South	HC-L	female	21	3	477605	04.07.2018 19:06
247	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-South	Q-North	HC-R	female	29	1	522505	04.07.2018 19:06
185	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-L	male	34	1	883237	04.07.2018 19:07
249	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-South	HC-R	male	29	1	560476	04.07.2018 19:07
270	Ons-diff_Delay-same	DurFirst	FT-South	ET-North	Q-North	HC-R	female	25	1	474395	04.07.2018 19:07
232	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-South	Q-North	HC-L	male	47	1	650550	04.07.2018 19:07
287	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-South	Q-North	HC-L	male	39	1	389791	04.07.2018 19:07
276	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-L	male	25	1	450474	04.07.2018 19:07
278	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-L	female	19	1	447094	04.07.2018 19:07
237	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-North	HC-R	male	63	1	650747	04.07.2018 19:07
241	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-North	Q-South	HC-R	female	49	1	637415	04.07.2018 19:07
295	Ons-same_Delay-diff	DurFirst	FT-North	ET-North	Q-North	HC-L	female	23	1	369478	04.07.2018 19:07
267	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-South	Q-North	HC-L	female	41	1	528552	04.07.2018 19:07
280	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-North	HC-R	female	36	1	449563	04.07.2018 19:08
283	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-North	HC-L	male	40	1	430424	04.07.2018 19:08
297	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-South	HC-L	male	39	1	372955	04.07.2018 19:08
260	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-South	HC-R	female	33	1	569823	04.07.2018 19:08
242	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-North	HC-L	male	40	1	664308	04.07.2018 19:08
279	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-South	HC-L	male	26	1	479363	04.07.2018 19:08
265	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-L	female	23	1	582531	04.07.2018 19:08
266	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-North	HC-L	female	25	1	581520	04.07.2018 19:08
302	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-North	HC-R	male	19	1	387888	04.07.2018 19:08
306	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-South	HC-R	female	53	1	367500	04.07.2018 19:08
202	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-North	Q-South	HC-R	female	36	2	933364	04.07.2018 19:08
273	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-North	HC-R	male	44	1	568031	04.07.2018 19:09
255	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-South	Q-South	HC-R	male	30	1	646511	04.07.2018 19:09
274	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-North	Q-South	HC-R	male	30	1	583468	04.07.2018 19:09
277	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-R	male	18	2	571735	04.07.2018 19:09
250	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-South	HC-L	male	29	1	696118	04.07.2018 19:09
285	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-South	HC-R	male	61	1	534855	04.07.2018 19:09
178	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-L	male	38	4	1086603	04.07.2018 19:09
256	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-North	Q-South	HC-L	male	64	1	691158	04.07.2018 19:10
213	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-South	HC-R	male	29	4	960890	04.07.2018 19:10
261	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-South	HC-R	female	19	1	692773	04.07.2018 19:10
253	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-South	HC-L	female	47	1	723737	04.07.2018 19:10
258	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-South	Q-South	HC-L	male	53	1	703053	04.07.2018 19:10
262	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-South	Q-South	HC-L	female	72	1	699094	04.07.2018 19:10
281	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-South	Q-South	HC-R	female	53	1	581892	04.07.2018 19:10
212	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-South	Q-South	HC-R	male	24	2	995949	04.07.2018 19:10
292	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-North	Q-North	HC-R	male	27	2	572965	04.07.2018 19:10
289	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-South	HC-L	male	24	1	583059	04.07.2018 19:10
245	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-South	HC-R	male	37	1	805274	04.07.2018 19:10
291	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-L	female	33	1	594323	04.07.2018 19:10
257	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-North	Q-South	HC-R	male	35	99	747050	04.07.2018 19:11
305	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-North	Q-South	HC-R	male	29	1	516754	04.07.2018 19:11
299	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-South	HC-R	female	20	1	551335	04.07.2018 19:11
288	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-North	Q-South	HC-L	female	54	1	621335	04.07.2018 19:11
300	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-North	Q-South	HC-L	female	53	1	562281	04.07.2018 19:11
286	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-North	HC-L	female	33	1	640138	04.07.2018 19:11
290	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-South	Q-North	HC-R	female	40	1	638609	04.07.2018 19:11
308	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-North	HC-L	male	40	1	427039	04.07.2018 19:12
310	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-North	Q-South	HC-R	male	34	2	413653	04.07.2018 19:12
301	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-South	HC-R	female	47	1	633085	04.07.2018 19:12
282	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-South	HC-L	female	34	1	751322	04.07.2018 19:13
296	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-North	Q-South	HC-L	female	25	1	700105	04.07.2018 19:13
246	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-South	Q-South	HC-R	male	45	1	964077	04.07.2018 19:13
307	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-North	HC-L	female	21	1	634054	04.07.2018 19:13
294	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-R	female	29	1	723491	04.07.2018 19:13
304	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-South	HC-L	male	32	1	687716	04.07.2018 19:13
268	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-South	Q-North	HC-R	male	52	2	908168	04.07.2018 19:14
303	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-R	male	33	2	745407	04.07.2018 19:14
