subjID	FirstTower	GammaDiff	Target	ScaleOrientation	Alpha	Rating	RespTime	AlphaRec
220	FT-South	F-S_2	Q-South	HC-L	0.25	8	18624	TwentyFive
221	FT-North	F-S_2	Q-North	HC-L	0.25	2	28423	TwentyFive
222	FT-South	S-F_2	Q-South	HC-R	0.75	7	20425	SeventyFive
223	FT-South	S-F_2	Q-South	HC-L	0.75	1	25439	SeventyFive
224	FT-South	F-S_2	Q-North	HC-R	0.75	5	34973	SeventyFive
225	FT-North	S-F_1	Q-South	HC-L	0.01	10	16714	Zero
226	FT-South	Control	Q-North	HC-R	0.5	3	20487	Fifty
227	FT-North	S-F_1	Q-North	HC-R	0.99	0	22126	Hundred
228	FT-South	F-S_1	Q-North	HC-R	0.99	1	34471	Hundred
230	FT-North	S-F_1	Q-North	HC-L	0.99	1	30181	Hundred
231	FT-South	Control	Q-North	HC-L	0.5	5	26916	Fifty
232	FT-North	F-S_2	Q-South	HC-L	0.75	5	45431	SeventyFive
233	FT-North	Control	Q-North	HC-R	0.5	2	19830	Fifty
235	FT-South	F-S_2	Q-North	HC-L	0.75	2	63657	SeventyFive
236	FT-North	S-F_2	Q-South	HC-R	0.25	3	37838	TwentyFive
237	FT-South	F-S_2	Q-North	HC-L	0.75	3	20342	SeventyFive
238	FT-North	F-S_1	Q-South	HC-L	0.99	1	30098	Hundred
239	FT-North	F-S_2	Q-South	HC-R	0.75	8	94176	SeventyFive
241	FT-South	S-F_2	Q-North	HC-L	0.25	6	28167	TwentyFive
243	FT-North	Control	Q-South	HC-R	0.5	2	22160	Fifty
244	FT-South	S-F_2	Q-South	HC-R	0.75	5	39621	SeventyFive
245	FT-North	F-S_2	Q-North	HC-R	0.25	8	33320	TwentyFive
246	FT-South	F-S_2	Q-South	HC-R	0.25	8	22843	TwentyFive
247	FT-South	F-S_1	Q-South	HC-R	0.01	10	11425	Zero
249	FT-South	F-S_2	Q-South	HC-L	0.25	8	38254	TwentyFive
250	FT-North	F-S_1	Q-South	HC-L	0.99	1	21203	Hundred
251	FT-South	S-F_1	Q-North	HC-L	0.01	10	22476	Zero
252	FT-South	Control	Q-North	HC-R	0.5	3	21372	Fifty
256	FT-North	F-S_1	Q-North	HC-L	0.01	10	28016	Zero
257	FT-South	F-S_1	Q-North	HC-R	0.99	0	51311	Hundred
259	FT-South	F-S_2	Q-North	HC-R	0.75	5	54946	SeventyFive
260	FT-North	S-F_1	Q-North	HC-R	0.99	3	4855	Hundred
261	FT-North	S-F_1	Q-North	HC-L	0.99	1	26444	Hundred
262	FT-South	S-F_1	Q-North	HC-R	0.01	9	37144	Zero
264	FT-North	F-S_2	Q-North	HC-L	0.25	6	27864	TwentyFive
265	FT-North	S-F_2	Q-North	HC-L	0.75	5	50730	SeventyFive
266	FT-South	S-F_2	Q-North	HC-R	0.25	8	25310	TwentyFive
267	FT-South	Control	Q-North	HC-L	0.5	2	31066	Fifty
268	FT-South	F-S_1	Q-North	HC-L	0.99	3	63614	Hundred
270	FT-South	F-S_1	Q-South	HC-L	0.01	9	37405	Zero
271	FT-South	S-F_2	Q-South	HC-L	0.75	3	44959	SeventyFive
272	FT-South	S-F_1	Q-South	HC-L	0.99	0	32851	Hundred
273	FT-North	S-F_2	Q-South	HC-L	0.25	8	30948	TwentyFive
275	FT-South	S-F_1	Q-South	HC-R	0.99	1	18348	Hundred
276	FT-South	Control	Q-South	HC-L	0.5	9	22934	Fifty
277	FT-South	Control	Q-South	HC-R	0.5	8	25335	Fifty
278	FT-North	F-S_1	Q-South	HC-R	0.99	1	15308	Hundred
279	FT-North	S-F_2	Q-North	HC-R	0.75	4	53349	SeventyFive
280	FT-North	F-S_2	Q-South	HC-L	0.75	2	53138	SeventyFive
281	FT-North	Control	Q-South	HC-L	0.5	2	36904	Fifty
282	FT-North	S-F_1	Q-South	HC-L	0.01	7	29359	Zero
283	FT-North	Control	Q-North	HC-L	0.5	5	18341	Fifty
284	FT-North	F-S_1	Q-North	HC-R	0.01	8	14753	Zero
285	FT-North	S-F_1	Q-South	HC-R	0.01	9	20798	Zero
